scenario,cfe_target,capex_after_itc_M,annual_opex_M,lcoe_Project Finance (Typical Utility),lcoe_Google Corporate (High),lcoe_Google Corporate (Low),lcoe_Zero Discount (Pure Cash),premium_Project Finance (Typical Utility)_pct,premium_Project Finance (Typical Utility)_dollars,premium_Google Corporate (High)_pct,premium_Google Corporate (High)_dollars,premium_Google Corporate (Low)_pct,premium_Google Corporate (Low)_dollars,premium_Zero Discount (Pure Cash)_pct,premium_Zero Discount (Pure Cash)_dollars
Baseline (78.3% CFE),78.3,443.3,14.535,60.01689758438477,45.65385300416135,41.01619762105401,36.83447488584475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100% CFE Target (Zero Gas),100.0,835.8,33.01,119.55528572263961,92.47513083847375,83.73127257273697,75.84703196347031,99.20270879470712,59.53838813825484,102.55712224342739,46.8212778343124,104.14196690372121,42.71507495168296,105.91316205411098,39.012557077625566
